"Timestamp";"Age";"Area";"Men";"Women"
"2024M01";"15-19 years";"Frederikssund";1507;1480
"2024M01";"15-19 years";"Fures�";1475;1388
"2024M01";"15-19 years";"Gribskov";1317;1197
"2024M01";"15-19 years";"Halsn�s";909;863
"2024M01";"15-19 years";"Helsing�r";2066;1941
"2024M01";"15-19 years";"Hiller�d";1816;1778
"2024M01";"15-19 years";"H�rsholm";870;816
"2024M01";"15-19 years";"Rudersdal";2131;1986
"2024M01";"15-19 years";"Bornholm";1091;985
"2024M01";"15-19 years";"Christians�";5;0
"2024M01";"15-19 years";"Region Sj�lland";27012;25362
"2024M01";"15-19 years";"Greve";1739;1628
"2024M01";"15-19 years";"K�ge";2084;1933
"2024M01";"15-19 years";"Lejre";970;965
"2024M01";"15-19 years";"Roskilde";3109;3096
"2024M01";"15-19 years";"Solr�d";812;827
"2024M01";"15-19 years";"Faxe";1310;1041
"2024M01";"15-19 years";"Guldborgsund";1646;1534
"2024M01";"15-19 years";"Holb�k";2532;2352
"2024M01";"15-19 years";"Kalundborg";1501;1404
"2024M01";"15-19 years";"Lolland";1018;985
"2024M01";"15-19 years";"N�stved";2678;2631
"2024M01";"15-19 years";"Odsherred";856;801
"2024M01";"15-19 years";"Ringsted";1161;1093
"2024M01";"15-19 years";"Slagelse";2487;2223
"2024M01";"15-19 years";"Sor�";1050;932
"2024M01";"15-19 years";"Stevns";720;643
"2024M01";"15-19 years";"Vordingborg";1339;1274
"2024M01";"15-19 years";"Region Syddanmark";38817;36881
"2024M01";"15-19 years";"Assens";1344;1169
"2024M01";"15-19 years";"Faaborg-Midtfyn";1687;1580
"2024M01";"15-19 years";"Kerteminde";705;672
"2024M01";"15-19 years";"Langeland";295;249
"2024M01";"15-19 years";"Middelfart";1368;1230
"2024M01";"15-19 years";"Nordfyns";939;916
"2024M01";"15-19 years";"Nyborg";1079;1067
"2024M01";"15-19 years";"Odense";5787;5787
"2024M01";"15-19 years";"Svendborg";1959;1771
"2024M01";"15-19 years";"�r�";151;132
"2024M01";"15-19 years";"Billund";847;842
"2024M01";"15-19 years";"Esbjerg";3548;3287
"2024M01";"15-19 years";"Fan�";104;85
